Ngay,Gia_Mua,Gia_Ban,Ty_Gia_USD,Gia_The_Gioi_USD,Nam,Thang,Chenh_Lech
2020-04-10,2292540,2396210,23121.92,80.71,2020,4,103670
2020-04-11,2293380,2390110,23136.77,80.45,2020,4,96730
2020-04-12,2302990,2400840,23137.87,80.81,2020,4,97850
2020-04-13,2308570,2404940,23130.91,80.97,2020,4,96370
2020-04-14,2254470,2356110,23140.46,79.29,2020,4,101640
2020-04-15,2344540,2447340,23148.87,82.33,2020,4,102800
2020-04-16,2393580,2493050,23171.03,83.79,2020,4,99470
2020-04-17,2373160,2476590,23145.29,83.33,2020,4,103430
2020-04-18,2382610,2483330,23146.47,83.55,2020,4,100720
2020-04-19,2265050,2366090,23141.42,79.63,2020,4,101040
2020-04-20,2431620,2534380,23113.68,85.39,2020,4,102760
2020-04-21,2416750,2515120,23142.0,84.64,2020,4,98370
2020-04-22,2405490,2504320,23143.23,84.27,2020,4,98830
2020-04-23,2404290,2507540,23179.21,84.25,2020,4,103250
2020-04-24,2431700,2534910,23139.31,85.31,2020,4,103210
2020-04-25,2350860,2454670,23146.65,82.59,2020,4,103810
2020-04-26,2294310,2397520,23141.53,80.68,2020,4,103210
2020-04-27,2376930,2473950,23124.46,83.32,2020,4,97020
2020-04-28,2402270,2504860,23159.06,84.23,2020,4,102590
2020-04-29,2395200,2494480,23153.13,83.9,2020,4,99280
2020-04-30,2350880,2454810,23153.65,82.57,2020,4,103930
2020-05-01,2255120,2354900,23128.07,79.29,2020,5,99780
2020-05-02,2321690,2422120,23162.69,81.44,2020,5,100430
2020-05-03,2433030,2533270,23120.55,85.33,2020,5,100240
2020-05-04,2370260,2468830,23150.31,83.05,2020,5,98570
2020-05-05,2363150,2459750,23174.3,82.66,2020,5,96600
2020-05-06,2298990,2402160,23126.51,80.89,2020,5,103170
2020-05-07,2309360,2411780,23132.81,81.19,2020,5,102420
2020-05-08,2435230,2532350,23142.73,85.22,2020,5,97120
2020-05-09,2381870,2484080,23133.61,83.62,2020,5,102210
2020-05-10,2411460,2512470,23117.84,84.64,2020,5,101010
2020-05-11,2342050,2441320,23142.06,82.15,2020,5,99270
2020-05-12,2375320,2473350,23125.02,83.29,2020,5,98030
2020-05-13,2301200,2404080,23147.99,80.88,2020,5,102880
2020-05-14,2381390,2482990,23127.03,83.61,2020,5,101600
2020-05-15,2331560,2431940,23164.0,81.76,2020,5,100380
2020-05-16,2334660,2435540,23128.94,82.01,2020,5,100880
2020-05-17,2384800,2481530,23135.79,83.53,2020,5,96730
2020-05-18,2430310,2530100,23152.75,85.1,2020,5,99790
2020-05-19,2267450,2365000,23122.02,79.66,2020,5,97550
2020-05-20,2416690,2514360,23143.82,84.61,2020,5,97670
2020-05-21,2309520,2410810,23159.95,81.07,2020,5,101290
2020-05-22,2338030,2441320,23116.16,82.25,2020,5,103290
2020-05-23,2260350,2359580,23142.97,79.4,2020,5,99230
2020-05-24,2303950,2401610,23144.04,80.81,2020,5,97660
2020-05-25,2350990,2452180,23151.8,82.49,2020,5,101190
2020-05-26,2263340,2366310,23121.45,79.7,2020,5,102970
2020-05-27,2343030,2445020,23120.12,82.36,2020,5,101990
2020-05-28,2428610,2531560,23147.69,85.17,2020,5,102950
2020-05-29,2267670,2367960,23144.25,79.68,2020,5,100290
2020-05-30,2400510,2502530,23143.48,84.21,2020,5,102020
2020-05-31,2330590,2427710,23144.85,81.69,2020,5,97120
2020-06-01,2382260,2481050,23129.39,83.54,2020,6,98790
2020-06-02,2310690,2409810,23143.0,81.09,2020,6,99120
2020-06-03,2281500,2381590,23143.85,80.14,2020,6,100090
2020-06-04,2279480,2382910,23128.67,80.24,2020,6,103430
2020-06-05,2265590,2368580,23167.3,79.62,2020,6,102990
2020-06-06,2286500,2383580,23146.35,80.2,2020,6,97080
2020-06-07,2381550,2478930,23121.31,83.5,2020,6,97380
2020-06-08,2426740,2525600,23148.96,84.97,2020,6,98860
2020-06-09,2416310,2514640,23124.42,84.69,2020,6,98330
2020-06-10,2388030,2488950,23150.78,83.73,2020,6,100920
2020-06-11,2268350,2371570,23156.28,79.76,2020,6,103220
2020-06-12,2308260,2411960,23126.53,81.22,2020,6,103700
2020-06-13,2312150,2413380,23153.22,81.18,2020,6,101230
2020-06-14,2290920,2393630,23144.89,80.54,2020,6,102710
2020-06-15,2346320,2446520,23150.96,82.3,2020,6,100200
2020-06-16,2367760,2465430,23167.01,82.88,2020,6,97670
2020-06-17,2317750,2417950,23134.81,81.39,2020,6,100200
2020-06-18,2325500,2425940,23127.12,81.69,2020,6,100440
2020-06-19,2404880,2506820,23125.01,84.42,2020,6,101940
2020-06-20,2420270,2518030,23126.05,84.8,2020,6,97760
2020-06-21,2314930,2413880,23137.06,81.25,2020,6,98950
2020-06-22,2433620,2532530,23143.27,85.22,2020,6,98910
2020-06-23,2436990,2540670,23142.23,85.5,2020,6,103680
2020-06-24,2317420,2416970,23150.42,81.31,2020,6,99550
2020-06-25,2318860,2420900,23138.14,81.48,2020,6,102040
2020-06-26,2347170,2449180,23159.68,82.36,2020,6,102010
2020-06-27,2440680,2538800,23133.84,85.47,2020,6,98120
2020-06-28,2426780,2527350,23178.54,84.92,2020,6,100570
2020-06-29,2262720,2365870,23147.06,79.6,2020,6,103150
2020-06-30,2327510,2427310,23124.75,81.74,2020,6,99800
2020-07-01,539460,601240,23121.47,20.25,2020,7,61780
2020-07-02,543080,601940,23144.7,20.25,2020,7,58860
2020-07-03,493630,551930,23134.05,18.58,2020,7,58300
2020-07-04,582180,643750,23148.04,21.66,2020,7,61570
2020-07-05,563460,624850,23144.36,21.03,2020,7,61390
2020-07-06,588100,650070,23136.1,21.88,2020,7,61970
2020-07-07,587760,648480,23124.42,21.84,2020,7,60720
2020-07-08,569440,631190,23114.33,21.27,2020,7,61750
2020-07-09,526300,587610,23130.29,19.78,2020,7,61310
2020-07-10,554000,615380,23149.76,20.7,2020,7,61380
2020-07-11,487250,547530,23140.06,18.43,2020,7,60280
2020-07-12,561320,620850,23118.09,20.91,2020,7,59530
2020-07-13,492860,554600,23139.31,18.67,2020,7,61740
2020-07-14,571740,631470,23142.42,21.25,2020,7,59730
2020-07-15,506110,566270,23123.32,19.07,2020,7,60160
2020-07-16,484620,544400,23138.81,18.32,2020,7,59780
2020-07-17,489890,550150,23137.31,18.52,2020,7,60260
2020-07-18,472110,531990,23119.23,17.92,2020,7,59880
2020-07-19,573290,631480,23141.67,21.25,2020,7,58190
2020-07-20,565960,627490,23144.64,21.11,2020,7,61530
2020-07-21,547000,606780,23152.41,20.41,2020,7,59780
2020-07-22,492560,552920,23151.9,18.6,2020,7,60360
2020-07-23,492070,550630,23115.36,18.55,2020,7,58560
2020-07-24,484380,542390,23121.89,18.27,2020,7,58010
2020-07-25,488660,547640,23143.62,18.43,2020,7,58980
2020-07-26,593980,654800,23143.53,22.03,2020,7,60820
2020-07-27,512490,570890,23143.48,19.21,2020,7,58400
2020-07-28,515060,576700,23193.48,19.36,2020,7,61640
2020-07-29,484950,543810,23144.18,18.3,2020,7,58860
2020-07-30,495060,553880,23152.58,18.63,2020,7,58820
2020-07-31,543510,602240,23149.79,20.26,2020,7,58730
2020-08-01,563300,621360,23145.18,20.91,2020,8,58060
2020-08-02,507810,568900,23130.61,19.15,2020,8,61090
2020-08-03,474310,535810,23146.66,18.03,2020,8,61500
2020-08-04,521520,581980,23123.61,19.6,2020,8,60460
2020-08-05,497260,556010,23131.58,18.72,2020,8,58750
2020-08-06,499250,558390,23127.79,18.8,2020,8,59140
2020-08-07,597170,657070,23136.23,22.12,2020,8,59900
2020-08-08,552960,614780,23169.65,20.66,2020,8,61820
2020-08-09,556460,615450,23106.85,20.74,2020,8,58990
2020-08-10,530000,590930,23145.09,19.88,2020,8,60930
2020-08-11,537220,596980,23110.54,20.12,2020,8,59760
2020-08-12,550260,609450,23127.58,20.52,2020,8,59190
2020-08-13,563550,623370,23150.92,20.97,2020,8,59820
2020-08-14,568540,626820,23135.48,21.1,2020,8,58280
2020-08-15,488560,549750,23118.29,18.52,2020,8,61190
2020-08-16,534680,593650,23123.65,19.99,2020,8,58970
2020-08-17,524280,585180,23144.51,19.69,2020,8,60900
2020-08-18,585390,643660,23123.29,21.68,2020,8,58270
2020-08-19,556400,618220,23137.42,20.81,2020,8,61820
2020-08-20,548450,607220,23134.79,20.44,2020,8,58770
2020-08-21,488460,549990,23124.27,18.52,2020,8,61530
2020-08-22,557040,618280,23166.13,20.78,2020,8,61240
2020-08-23,486700,548570,23143.41,18.46,2020,8,61870
2020-08-24,523730,583640,23103.46,19.67,2020,8,59910
2020-08-25,493080,553990,23136.56,18.65,2020,8,60910
2020-08-26,564350,623830,23123.77,21.01,2020,8,59480
2020-08-27,501020,559760,23146.42,18.83,2020,8,58740
2020-08-28,516950,576720,23121.67,19.42,2020,8,59770
2020-08-29,596220,654880,23131.77,22.05,2020,8,58660
2020-08-30,495260,557190,23141.0,18.75,2020,8,61930
2020-08-31,544400,602780,23146.34,20.28,2020,8,58380
2020-09-01,527420,587780,23115.28,19.8,2020,9,60360
2020-09-02,469590,530100,23128.2,17.85,2020,9,60510
2020-09-03,574560,634710,23126.03,21.37,2020,9,60150
2020-09-04,475010,535660,23123.28,18.04,2020,9,60650
2020-09-05,544570,603030,23159.5,20.28,2020,9,58460
2020-09-06,552030,612250,23139.02,20.61,2020,9,60220
2020-09-07,563640,622790,23113.96,20.98,2020,9,59150
2020-09-08,563370,625130,23146.58,21.03,2020,9,61760
2020-09-09,496100,557150,23164.57,18.73,2020,9,61050
2020-09-10,465040,526930,23148.16,17.73,2020,9,61890
2020-09-11,573670,631820,23109.81,21.29,2020,9,58150
2020-09-12,540850,599990,23125.27,20.21,2020,9,59140
2020-09-13,582050,640830,23151.47,21.56,2020,9,58780
2020-09-14,587020,645060,23121.78,21.73,2020,9,58040
2020-09-15,584760,643730,23138.99,21.67,2020,9,58970
2020-09-16,527940,588660,23143.88,19.81,2020,9,60720
2020-09-17,517710,576630,23118.29,19.42,2020,9,58920
2020-09-18,579630,639670,23131.23,21.54,2020,9,60040
2020-09-19,534540,596090,23083.44,20.11,2020,9,61550
2020-09-20,488330,549110,23116.62,18.5,2020,9,60780
2020-09-21,590730,650310,23128.13,21.9,2020,9,59580
2020-09-22,601300,660790,23113.13,22.26,2020,9,59490
2020-09-23,534180,594000,23156.27,19.98,2020,9,59820
2020-09-24,478150,536860,23110.26,18.09,2020,9,58710
2020-09-25,523980,584520,23125.04,19.68,2020,9,60540
2020-09-26,580840,640300,23133.54,21.56,2020,9,59460
2020-09-27,593540,654950,23153.13,22.03,2020,9,61410
2020-09-28,499530,560560,23109.9,18.89,2020,9,61030
2020-09-29,480190,540630,23148.82,18.19,2020,9,60440
2020-09-30,598300,657760,23131.45,22.15,2020,9,59460
2020-10-01,521810,580650,23116.51,19.56,2020,10,58840
2020-10-02,541490,602590,23138.1,20.28,2020,10,61100
2020-10-03,603220,663170,23134.08,22.32,2020,10,59950
2020-10-04,475880,534780,23122.02,18.01,2020,10,58900
2020-10-05,566300,625080,23132.01,21.04,2020,10,58780
2020-10-06,489850,548510,23125.11,18.47,2020,10,58660
2020-10-07,519450,580560,23132.52,19.54,2020,10,61110
2020-10-08,579260,638180,23140.69,21.48,2020,10,58920
2020-10-09,526330,586440,23154.48,19.72,2020,10,60110
2020-10-10,607870,667680,23112.05,22.5,2020,10,59810
2020-10-11,553260,613580,23162.54,20.63,2020,10,60320
2020-10-12,511030,572540,23101.2,19.3,2020,10,61510
2020-10-13,495320,556790,23128.13,18.75,2020,10,61470
2020-10-14,515910,575710,23139.17,19.38,2020,10,59800
2020-10-15,527240,585300,23134.49,19.7,2020,10,58060
2020-10-16,478220,537930,23120.86,18.12,2020,10,59710
2020-10-17,517290,577710,23127.02,19.45,2020,10,60420
2020-10-18,534490,594720,23122.67,20.03,2020,10,60230
2020-10-19,574940,635550,23121.16,21.41,2020,10,60610
2020-10-20,564010,622630,23142.68,20.95,2020,10,58620
2020-10-21,566530,627120,23135.22,21.11,2020,10,60590
2020-10-22,473450,532180,23119.4,17.93,2020,10,58730
2020-10-23,501890,562890,23143.22,18.94,2020,10,61000
2020-10-24,562370,621730,23134.27,20.93,2020,10,59360
2020-10-25,536830,597670,23141.78,20.11,2020,10,60840
2020-10-26,473690,531880,23138.96,17.9,2020,10,58190
2020-10-27,578200,637830,23117.02,21.49,2020,10,59630
2020-10-28,574710,635530,23120.98,21.41,2020,10,60820
2020-10-29,551230,610140,23140.52,20.53,2020,10,58910
2020-10-30,482940,544120,23138.4,18.31,2020,10,61180
2020-10-31,582810,643330,23128.86,21.66,2020,10,60520
2020-11-01,549300,609650,23130.87,20.53,2020,11,60350
2020-11-02,581020,640430,23148.21,21.55,2020,11,59410
2020-11-03,569560,629490,23120.1,21.2,2020,11,59930
2020-11-04,585520,645910,23137.11,21.74,2020,11,60390
2020-11-05,546200,606090,23125.8,20.41,2020,11,59890
2020-11-06,490900,551690,23125.5,18.58,2020,11,60790
2020-11-07,566870,626600,23145.18,21.08,2020,11,59730
2020-11-08,557980,616790,23141.01,20.76,2020,11,58810
2020-11-09,580560,639420,23140.76,21.52,2020,11,58860
2020-11-10,494340,552360,23148.08,18.58,2020,11,58020
2020-11-11,491600,550800,23128.74,18.55,2020,11,59200
2020-11-12,599550,660550,23138.59,22.23,2020,11,61000
2020-11-13,566600,627780,23123.63,21.14,2020,11,61180
2020-11-14,598650,657460,23133.08,22.13,2020,11,58810
2020-11-15,575520,637360,23126.2,21.46,2020,11,61840
2020-11-16,552010,612020,23129.54,20.61,2020,11,60010
2020-11-17,569530,631200,23136.94,21.25,2020,11,61670
2020-11-18,587190,648020,23115.67,21.83,2020,11,60830
2020-11-19,551420,612310,23159.26,20.59,2020,11,60890
2020-11-20,558160,616500,23112.72,20.77,2020,11,58340
2020-11-21,488750,547630,23109.53,18.45,2020,11,58880
2020-11-22,532790,590830,23145.04,19.88,2020,11,58040
2020-11-23,564850,625710,23139.48,21.06,2020,11,60860
2020-11-24,501770,561150,23136.9,18.89,2020,11,59380
2020-11-25,494570,555720,23136.89,18.71,2020,11,61150
2020-11-26,511320,570680,23127.21,19.22,2020,11,59360
2020-11-27,501340,562620,23113.87,18.96,2020,11,61280
2020-11-28,506760,565280,23128.4,19.03,2020,11,58520
2020-11-29,531680,590370,23117.03,19.89,2020,11,58690
2020-11-30,594080,653440,23141.75,21.99,2020,11,59360
2020-12-01,540550,600180,23124.85,20.21,2020,12,59630
2020-12-02,501070,560460,23114.6,18.88,2020,12,59390
2020-12-03,478670,539720,23122.1,18.18,2020,12,61050
2020-12-04,577750,636140,23133.04,21.42,2020,12,58390
2020-12-05,530400,589800,23118.32,19.87,2020,12,59400
2020-12-06,588200,649550,23114.38,21.88,2020,12,61350
2020-12-07,555040,613310,23130.3,20.65,2020,12,58270
2020-12-08,577170,638940,23130.25,21.51,2020,12,61770
2020-12-09,505830,567780,23118.9,19.13,2020,12,61950
2020-12-10,567630,625980,23119.37,21.09,2020,12,58350
2020-12-11,503600,562770,23129.85,18.95,2020,12,59170
2020-12-12,601610,661100,23104.58,22.28,2020,12,59490
2020-12-13,552580,613690,23105.12,20.68,2020,12,61110
2020-12-14,515960,576340,23115.39,19.42,2020,12,60380
2020-12-15,502530,563110,23122.89,18.97,2020,12,60580
2020-12-16,495080,556110,23130.69,18.72,2020,12,61030
2020-12-17,570700,629170,23148.09,21.17,2020,12,58470
2020-12-18,501720,563050,23138.76,18.95,2020,12,61330
2020-12-19,553920,614740,23123.42,20.7,2020,12,60820
2020-12-20,505060,565370,23125.47,19.04,2020,12,60310
2020-12-21,561870,623430,23110.65,21.01,2020,12,61560
2020-12-22,584090,644890,23125.34,21.72,2020,12,60800
2020-12-23,582550,641360,23121.22,21.6,2020,12,58810
2020-12-24,577940,637660,23130.32,21.47,2020,12,59720
2020-12-25,502850,562830,23113.0,18.96,2020,12,59980
2020-12-26,480580,538800,23133.13,18.14,2020,12,58220
2020-12-27,564730,626550,23148.27,21.08,2020,12,61820
2020-12-28,524370,582880,23123.57,19.63,2020,12,58510
2020-12-29,531960,592750,23131.16,19.96,2020,12,60790
2020-12-30,477250,537270,23135.42,18.09,2020,12,60020
2020-12-31,512310,570410,23118.98,19.21,2020,12,58100
2021-01-01,611050,672750,23128.29,22.65,2021,1,61700
2021-01-02,674340,735750,23125.05,24.78,2021,1,61410
2021-01-03,626820,686920,23126.26,23.13,2021,1,60100
2021-01-04,659170,718090,23113.13,24.2,2021,1,58920
2021-01-05,608060,666550,23125.03,22.45,2021,1,58490
2021-01-06,664460,723910,23132.06,24.37,2021,1,59450
2021-01-07,636450,695470,23146.29,23.4,2021,1,59020
2021-01-08,675510,735540,23138.84,24.76,2021,1,60030
2021-01-09,674500,736370,23156.68,24.76,2021,1,61870
2021-01-10,634210,694510,23112.8,23.4,2021,1,60300
2021-01-11,679360,740920,23137.33,24.94,2021,1,61560
2021-01-12,688400,749000,23126.93,25.22,2021,1,60600
2021-01-13,671270,731170,23156.96,24.59,2021,1,59900
2021-01-14,671130,732550,23111.92,24.68,2021,1,61420
2021-01-15,628120,688010,23111.38,23.18,2021,1,59890
2021-01-16,649040,710510,23114.91,23.94,2021,1,61470
2021-01-17,620560,679730,23091.98,22.92,2021,1,59170
2021-01-18,617920,676440,23115.88,22.79,2021,1,58520
2021-01-19,684930,746350,23112.31,25.15,2021,1,61420
2021-01-20,637640,697990,23125.89,23.51,2021,1,60350
2021-01-21,662680,724240,23128.69,24.39,2021,1,61560
2021-01-22,669100,730850,23151.64,24.58,2021,1,61750
2021-01-23,681450,739660,23137.68,24.9,2021,1,58210
2021-01-24,685950,745950,23114.7,25.13,2021,1,60000
2021-01-25,625340,684840,23109.81,23.08,2021,1,59500
2021-01-26,613720,674220,23130.6,22.7,2021,1,60500
2021-01-27,637140,698310,23103.35,23.54,2021,1,61170
2021-01-28,619180,678300,23150.55,22.82,2021,1,59120
2021-01-29,609300,669530,23140.71,22.53,2021,1,60230
2021-01-30,638870,699700,23115.91,23.57,2021,1,60830
2021-01-31,660380,718920,23097.18,24.24,2021,1,58540
2021-02-01,649840,711100,23143.12,23.93,2021,2,61260
2021-02-02,639610,700030,23121.02,23.58,2021,2,60420
2021-02-03,659820,721620,23141.24,24.28,2021,2,61800
2021-02-04,627440,686800,23098.69,23.16,2021,2,59360
2021-02-05,618840,677270,23113.54,22.82,2021,2,58430
2021-02-06,664970,725000,23122.54,24.42,2021,2,60030
2021-02-07,655150,713490,23123.1,24.03,2021,2,58340
2021-02-08,663060,724940,23115.58,24.42,2021,2,61880
2021-02-09,614700,672850,23131.6,22.65,2021,2,58150
2021-02-10,674130,735140,23106.18,24.78,2021,2,61010
2021-02-11,655970,716070,23119.99,24.12,2021,2,60100
2021-02-12,655180,714650,23123.86,24.07,2021,2,59470
2021-02-13,659890,718150,23129.7,24.18,2021,2,58260
2021-02-14,672930,733420,23132.59,24.69,2021,2,60490
2021-02-15,650410,710750,23104.98,23.96,2021,2,60340
2021-02-16,658510,717630,23098.77,24.19,2021,2,59120
2021-02-17,687010,748650,23140.88,25.19,2021,2,61640
2021-02-18,664630,723850,23126.63,24.38,2021,2,59220
2021-02-19,636190,695990,23110.35,23.45,2021,2,59800
2021-02-20,664870,725050,23144.77,24.4,2021,2,60180
2021-02-21,636540,694940,23123.17,23.41,2021,2,58400
2021-02-22,625820,687550,23139.06,23.14,2021,2,61730
2021-02-23,658310,717810,23122.31,24.18,2021,2,59500
2021-02-24,681900,740220,23152.14,24.9,2021,2,58320
2021-02-25,675790,735340,23147.49,24.74,2021,2,59550
2021-02-26,638480,698880,23117.36,23.54,2021,2,60400
2021-02-27,648150,708200,23135.6,23.84,2021,2,60050
2021-02-28,622710,683490,23130.64,23.01,2021,2,60780
2021-03-01,687340,745560,23141.42,25.09,2021,3,58220
2021-03-02,682270,741410,23106.35,24.99,2021,3,59140
2021-03-03,653670,714950,23131.04,24.07,2021,3,61280
2021-03-04,672000,730320,23136.56,24.58,2021,3,58320
2021-03-05,660250,721670,23094.24,24.34,2021,3,61420
2021-03-06,653590,711960,23102.8,24.0,2021,3,58370
2021-03-07,610250,671590,23089.89,22.65,2021,3,61340
2021-03-08,644470,703910,23116.37,23.71,2021,3,59440
2021-03-09,664710,725160,23131.11,24.41,2021,3,60450
2021-03-10,666850,725460,23142.81,24.41,2021,3,58610
2021-03-11,636200,694460,23121.32,23.39,2021,3,58260
2021-03-12,681490,740350,23144.57,24.91,2021,3,58860
2021-03-13,629280,687790,23099.37,23.19,2021,3,58510
2021-03-14,655450,714700,23094.45,24.1,2021,3,59250
2021-03-15,663830,723890,23119.1,24.38,2021,3,60060
2021-03-16,657170,717530,23125.62,24.16,2021,3,60360
2021-03-17,657510,718670,23119.3,24.21,2021,3,61160
2021-03-18,629310,689930,23088.71,23.27,2021,3,60620
2021-03-19,619900,680340,23118.32,22.92,2021,3,60440
2021-03-20,661660,721310,23100.02,24.32,2021,3,59650
2021-03-21,652750,712650,23129.57,23.99,2021,3,59900
2021-03-22,620820,680480,23124.95,22.92,2021,3,59660
2021-03-23,664970,726340,23105.29,24.48,2021,3,61370
2021-03-24,652710,711630,23111.61,23.98,2021,3,58920
2021-03-25,665800,723820,23103.36,24.4,2021,3,58020
2021-03-26,674750,735360,23118.24,24.77,2021,3,60610
2021-03-27,629170,687980,23133.44,23.16,2021,3,58810
2021-03-28,611350,672910,23104.26,22.68,2021,3,61560
2021-03-29,667900,729340,23126.53,24.56,2021,3,61440
2021-03-30,658140,716450,23110.95,24.14,2021,3,58310
2021-03-31,661740,720170,23106.94,24.27,2021,3,58430
